# x	mu	std
-1.000000	-0.005195	0.760469
-0.939698	0.011924	0.731663
-0.879397	0.032435	0.701158
-0.819095	0.056642	0.669115
-0.758794	0.084843	0.635737
-0.698492	0.117326	0.601269
-0.638191	0.154358	0.566000
-0.577889	0.196189	0.530263
-0.517588	0.243038	0.494434
-0.457286	0.295091	0.458931
-0.396985	0.352499	0.424215
-0.336683	0.415369	0.390787
-0.276382	0.483760	0.359182
-0.216080	0.557685	0.329956
-0.155779	0.637102	0.303666
-0.095477	0.721916	0.280829
-0.035176	0.811979	0.261861
0.025126	0.907088	0.247005
0.085427	1.006989	0.236252
0.145729	1.111379	0.229311
0.206030	1.219908	0.225629
0.266332	1.332191	0.224477
0.326633	1.447806	0.225065
0.386935	1.566306	0.226643
0.447236	1.687228	0.228566
0.507538	1.810098	0.230330
0.567839	1.934444	0.231571
0.628141	2.059802	0.232052
0.688442	2.185729	0.231652
0.748744	2.311807	0.230340
0.809045	2.437659	0.228158
0.869347	2.562949	0.225208
0.929648	2.687394	0.221633
0.989950	2.810767	0.217608
1.050251	2.932903	0.213326
1.110553	3.053699	0.208986
1.170854	3.173118	0.204787
1.231156	3.291185	0.200915
1.291457	3.407986	0.197533
1.351759	3.523665	0.194778
1.412060	3.638415	0.192749
1.472362	3.752473	0.191506
1.532663	3.866108	0.191064
1.592965	3.979616	0.191401
1.653266	4.093304	0.192454
1.713568	4.207484	0.194128
1.773869	4.322456	0.196306
1.834171	4.438502	0.198850
1.894472	4.555872	0.201613
1.954774	4.674775	0.204443
2.015075	4.795373	0.207190
2.075377	4.917768	0.209710
2.135678	5.042004	0.211869
2.195980	5.168058	0.213550
2.256281	5.295841	0.214652
2.316583	5.425199	0.215100
2.376884	5.555915	0.214842
2.437186	5.687717	0.213859
2.497487	5.820280	0.212163
2.557789	5.953243	0.209802
2.618090	6.086212	0.206863
2.678392	6.218777	0.203472
2.738693	6.350523	0.199792
2.798995	6.481044	0.196018
2.859296	6.609956	0.192375
2.919598	6.736907	0.189101
2.979899	6.861594	0.186433
3.040201	6.983772	0.184588
3.100503	7.103258	0.183737
3.160804	7.219944	0.183989
3.221106	7.333798	0.185376
3.281407	7.444866	0.187852
3.341709	7.553272	0.191296
3.402010	7.659211	0.195536
3.462312	7.762948	0.200365
3.522613	7.864805	0.205565
3.582915	7.965151	0.210926
3.643216	8.064392	0.216258
3.703518	8.162952	0.221407
3.763819	8.261264	0.226251
3.824121	8.359751	0.230710
3.884422	8.458814	0.234742
3.944724	8.558816	0.238341
4.005025	8.660071	0.241533
4.065327	8.762836	0.244370
4.125628	8.867298	0.246922
4.185930	8.973573	0.249272
4.246231	9.081700	0.251508
4.306533	9.191645	0.253713
4.366834	9.303301	0.255962
