# x	mu	std
-1.000000	-0.867421	9.901510
-0.964824	-0.969652	9.871604
-0.929648	-1.076988	9.834246
-0.894472	-1.188416	9.788086
-0.859296	-1.302682	9.731663
-0.824121	-1.418285	9.663430
-0.788945	-1.533492	9.581792
-0.753769	-1.646354	9.485145
-0.718593	-1.754733	9.371928
-0.683417	-1.856341	9.240677
-0.648241	-1.948793	9.090093
-0.613065	-2.029661	8.919102
-0.577889	-2.096546	8.726924
-0.542714	-2.147155	8.513144
-0.507538	-2.179375	8.277765
-0.472362	-2.191365	8.021271
-0.437186	-2.181631	7.744674
-0.402010	-2.149108	7.449544
-0.366834	-2.093231	7.138042
-0.331658	-2.013991	6.812923
-0.296482	-1.911984	6.477533
-0.261307	-1.788437	6.135783
-0.226131	-1.645216	5.792109
-0.190955	-1.484812	5.451395
-0.155779	-1.310305	5.118878
-0.120603	-1.125304	4.800001
-0.085427	-0.933871	4.500214
-0.050251	-0.740418	4.224707
-0.015075	-0.549598	3.978069
0.020101	-0.366175	3.763887
0.055276	-0.194895	3.584345
0.090452	-0.040350	3.439896
0.125628	0.093151	3.329137
0.160804	0.201700	3.248939
0.195980	0.281900	3.194861
0.231156	0.330946	3.161721
0.266332	0.346694	3.144211
0.301508	0.327695	3.137411
0.336683	0.273211	3.137132
0.371859	0.183198	3.140088
0.407035	0.058265	3.143914
0.442211	-0.100381	3.147089
0.477387	-0.291025	3.148798
0.512563	-0.511530	3.148769
0.547739	-0.759444	3.147110
0.582915	-1.032107	3.144161
0.618090	-1.326752	3.140361
0.653266	-1.640602	3.136159
0.688442	-1.970957	3.131939
0.723618	-2.315257	3.127988
0.758794	-2.671134	3.124478
0.793970	-3.036443	3.121477
0.829146	-3.409273	3.118963
0.864322	-3.787937	3.116860
0.899497	-4.170952	3.115058
0.934673	-4.557002	3.113442
0.969849	-4.944895	3.111911
1.005025	-5.333519	3.110390
1.040201	-5.721796	3.108835
1.075377	-6.108640	3.107236
1.110553	-6.492938	3.105609
1.145729	-6.873526	3.103990
1.180905	-7.249196	3.102433
1.216080	-7.618712	3.100993
1.251256	-7.980848	3.099728
1.286432	-8.334436	3.098694
1.321608	-8.678432	3.097934
1.356784	-9.011990	3.097486
1.391960	-9.334541	3.097373
1.427136	-9.645873	3.097607
1.462312	-9.946203	3.098187
1.497487	-10.236244	3.099098
1.532663	-10.517252	3.100308
1.567839	-10.791057	3.101775
1.603015	-11.060066	3.103438
1.638191	-11.327248	3.105229
1.673367	-11.596082	3.107066
1.708543	-11.870488	3.108864
1.743719	-12.154730	3.110535
1.778894	-12.453291	3.111998
1.814070	-12.770738	3.113180
1.849246	-13.111568	3.114023
1.884422	-13.480052	3.114489
1.919598	-13.880071	3.114564
1.954774	-14.314968	3.114259
