# x	mu	std
-1.000000	-0.158090	0.606031
-0.939698	-0.161469	0.567387
-0.879397	-0.163217	0.527723
-0.819095	-0.163091	0.487373
-0.758794	-0.160854	0.446703
-0.698492	-0.156277	0.406101
-0.638191	-0.149149	0.365972
-0.577889	-0.139281	0.326731
-0.517588	-0.126510	0.288796
-0.457286	-0.110711	0.252580
-0.396985	-0.091793	0.218488
-0.336683	-0.069713	0.186912
-0.276382	-0.044471	0.158228
-0.216080	-0.016119	0.132794
-0.155779	0.015239	0.110943
-0.095477	0.049449	0.092951
-0.035176	0.086306	0.078971
0.025126	0.125557	0.068907
0.085427	0.166905	0.062290
0.145729	0.210013	0.058291
0.206030	0.254515	0.055942
0.266332	0.300017	0.054418
0.326633	0.346108	0.053195
0.386935	0.392371	0.052074
0.447236	0.438389	0.051113
0.507538	0.483752	0.050544
0.567839	0.528071	0.050668
0.628141	0.570981	0.051743
0.688442	0.612149	0.053888
0.748744	0.651280	0.057046
0.809045	0.688119	0.061013
0.869347	0.722456	0.065509
0.929648	0.754123	0.070235
0.989950	0.782999	0.074923
1.050251	0.808999	0.079345
1.110553	0.832078	0.083324
1.170854	0.852220	0.086727
1.231156	0.869435	0.089467
1.291457	0.883753	0.091490
1.351759	0.895212	0.092775
1.412060	0.903857	0.093326
1.472362	0.909731	0.093172
1.532663	0.912868	0.092361
1.592965	0.913291	0.090960
1.653266	0.911008	0.089050
1.713568	0.906009	0.086727
1.773869	0.898269	0.084098
1.834171	0.887744	0.081284
1.894472	0.874381	0.078408
1.954774	0.858114	0.075603
2.015075	0.838879	0.072998
2.075377	0.816609	0.070719
2.135678	0.791252	0.068879
2.195980	0.762767	0.067575
2.256281	0.731137	0.066877
2.316583	0.696373	0.066833
2.376884	0.658516	0.067459
2.437186	0.617643	0.068748
2.497487	0.573870	0.070673
2.557789	0.527346	0.073187
2.618090	0.478259	0.076230
2.678392	0.426827	0.079730
2.738693	0.373299	0.083601
2.798995	0.317943	0.087748
2.859296	0.261046	0.092063
2.919598	0.202900	0.096433
2.979899	0.143801	0.100734
3.040201	0.084038	0.104842
3.100503	0.023888	0.108634
3.160804	-0.036389	0.111995
3.221106	-0.096558	0.114817
3.281407	-0.156405	0.117011
3.341709	-0.215745	0.118505
3.402010	-0.274416	0.119253
3.462312	-0.332279	0.119234
3.522613	-0.389216	0.118459
3.582915	-0.445118	0.116968
3.643216	-0.499886	0.114838
3.703518	-0.553420	0.112179
3.763819	-0.605611	0.109134
3.824121	-0.656337	0.105879
3.884422	-0.705453	0.102612
3.944724	-0.752789	0.099550
4.005025	-0.798142	0.096908
4.065327	-0.841278	0.094878
4.125628	-0.881930	0.093607
4.185930	-0.919798	0.093172
4.246231	-0.954559	0.093567
4.306533	-0.985867	0.094706
4.366834	-1.013368	0.096438
4.427136	-1.036705	0.098573
4.487437	-1.055532	0.100902
4.547739	-1.069526	0.103230
4.608040	-1.078400	0.105379
4.668342	-1.081915	0.107208
4.728643	-1.079890	0.108613
4.788945	-1.072214	0.109529
4.849246	-1.058855	0.109930
4.909548	-1.039862	0.109828
4.969849	-1.015371	0.109271
5.030151	-0.985605	0.108336
5.090452	-0.950868	0.107129
5.150754	-0.911543	0.105776
5.211055	-0.868080	0.104415
5.271357	-0.820986	0.103190
5.331658	-0.770810	0.102233
5.391960	-0.718130	0.101658
5.452261	-0.663533	0.101541
5.512563	-0.607600	0.101918
5.572864	-0.550890	0.102774
5.633166	-0.493924	0.104048
5.693467	-0.437169	0.105638
5.753769	-0.381028	0.107413
5.814070	-0.325831	0.109226
5.874372	-0.271824	0.110924
5.934673	-0.219174	0.112361
5.994975	-0.167960	0.113406
6.055276	-0.118183	0.113947
6.115578	-0.069771	0.113901
6.175879	-0.022588	0.113212
6.236181	0.023556	0.111856
6.296482	0.068886	0.109844
6.356784	0.113652	0.107220
6.417085	0.158111	0.104062
6.477387	0.202509	0.100481
6.537688	0.247071	0.096617
6.597990	0.291980	0.092639
6.658291	0.337370	0.088734
6.718593	0.383314	0.085103
6.778894	0.429815	0.081941
6.839196	0.476803	0.079427
6.899497	0.524133	0.077699
6.959799	0.571584	0.076837
7.020101	0.618863	0.076858
7.080402	0.665614	0.077712
7.140704	0.711423	0.079302
7.201005	0.755829	0.081499
7.261307	0.798338	0.084167
7.321608	0.838434	0.087174
7.381910	0.875590	0.090403
7.442211	0.909288	0.093751
7.502513	0.939024	0.097131
7.562814	0.964327	0.100471
7.623116	0.984766	0.103709
7.683417	0.999962	0.106795
7.743719	1.009596	0.109688
7.804020	1.013413	0.112359
7.864322	1.011234	0.114792
7.924623	1.002950	0.116986
7.984925	0.988534	0.118956
8.045226	0.968030	0.120731
8.105528	0.941562	0.122355
8.165829	0.909323	0.123885
8.226131	0.871578	0.125382
8.286432	0.828653	0.126911
8.346734	0.780935	0.128529
8.407035	0.728861	0.130280
8.467337	0.672914	0.132193
8.527638	0.613615	0.134274
